Process temperature,Tool wear,Torque,temperature_differential,power_speed_ratio,Process temperature_kmeans_cluster_interaction,Tool wear_kmeans_cluster_interaction,Process temperature_complete_cluster_interaction,Tool wear_complete_cluster_interaction,Torque_kmeans_cluster_interaction,Tool wear_ward_cluster_interaction,Torque_complete_cluster_interaction,Machine failure
-1.4865919,1.3074399,0.837037,0.76470584,1.1538050703898266,-4.4597757,3.9223197,-2.9731838,2.6148798,2.511111,0.0,1.674074,0.0
-0.54283166,1.3771957,0.37777776,0.5882353,0.5238348028141483,-1.62849498,4.1315871,-1.08566332,2.7543914,1.13333328,4.1315871,0.75555552,0.0
1.075043,1.4084109,0.24444444,0.47058824,0.341073459975122,2.150086,2.8168218,0.0,0.0,0.48888888,0.0,0.0,0.0
-0.4754202,1.2232473,0.43703702,-0.5882353,0.6052801176254939,-0.9508404,2.4464946,-0.9508404,2.4464946,0.87407404,0.0,0.87407404,0.0
1.2098658,1.5776458,0.37037033,1.0,0.5138583706501321,3.6295974,4.7329374,2.4197316,3.1552916,1.11111099,1.5776458,0.74074066,0.0
0.19869421,1.1159874,-0.48148152,0.88235295,-0.6545551085613213,0.99347105,5.579937,0.19869421,1.1159874,-2.4074076,0.0,-0.48148152,0.0
0.94022006,0.9421791,-0.2074074,-1.0,-0.2787531907412729,1.88044012,1.8843582,0.0,0.0,-0.4148148,0.9421791,-0.0,0.0
-1.6888262,1.1563346,-0.3703704,0.76470584,-0.5021986641528974,-8.444131,5.7816730000000005,-1.6888262,1.1563346,-1.851852,0.0,-0.3703704,0.0
0.67057425,0.81153566,0.5555555,-1.117647,0.7679734613690352,1.3411485,1.62307132,0.0,0.0,1.111111,0.0,0.0,0.0
-0.54283166,1.6793323,0.31851852,-0.23529412,0.4427142420040589,-1.62849498,5.0379969,-1.08566332,3.3586646,0.95555556,5.0379969,0.63703704,0.0
0.26610565,1.4752742,-0.44444448,-0.52941173,-0.6037822749928065,1.0644226,5.9010968,0.0,0.0,-1.77777792,1.4752742,-0.0,0.0
1.075043,1.2595643,0.118518524,0.76470584,0.1683275720747097,2.150086,2.5191286,0.0,0.0,0.237037048,0.0,0.0,0.0
1.2098658,1.478861,-0.36296296,-0.17647056,-0.492023346223172,4.8394632,5.915444,0.0,0.0,-1.45185184,1.478861,-0.0,0.0
0.46833998,1.0300545,-1.5925927,-0.52941173,-2.178772910626306,0.0,0.0,1.40501994,3.0901635,-0.0,2.060109,-4.7777781,0.0
-1.4865919,0.84583116,-0.022222223,0.11764706,-0.0248002451057785,-7.432959500000001,4.2291558,-1.4865919,0.84583116,-0.111111115,0.0,-0.022222223,0.0
-0.20577444,1.3367544,-0.8666667,0.76470584,-1.1830181486237912,-0.0,0.0,-0.20577444,1.3367544,-0.0,2.6735088,-0.8666667,0.0
-1.4191804,1.1903504,-0.71851856,0.5294118,-0.9797438909987192,-7.095902,5.951752,-1.4191804,1.1903504,-3.5925928000000003,1.1903504,-0.71851856,0.0
-1.1495347,1.285962,-0.21481481,0.5882353,-0.2887428181191606,-5.7476735,6.42981,-2.2990694,2.571924,-1.07407405,1.285962,-0.42962962,0.0
-1.0821233,0.7164391,0.5407407,-0.41176468,0.747412875866248,-5.4106165,3.5821955,-1.0821233,0.7164391,2.7037035,0.0,0.5407407,0.0
0.06387132,0.9110832,-0.17037037,-1.1764705,-0.2278550088492526,0.12774264,1.8221664,0.1916139599999999,2.7332496,-0.34074074,0.9110832,-0.51111111,0.0
-1.958472,0.9603828,-0.074074075,-0.17647056,-0.095802513946571,-9.79236,4.801914,-1.958472,0.9603828,-0.370370375,0.0,-0.074074075,0.0
0.46833998,1.5209272,-1.0962963,0.0,-1.4980156113843237,0.0,0.0,1.40501994,4.5627816,-0.0,3.0418544,-3.2888889,0.0
-1.351769,1.478861,0.7037037,-0.17647056,0.9709044763202572,-4.055307,4.436583,-2.703538,2.957722,2.1111111,4.436583,1.4074074,0.0
0.6031628,0.9173802,-0.37777779,-0.7058824,-0.512570550327957,1.2063256,1.8347604,0.0,0.0,-0.75555558,0.9173802,-0.0,0.0
-1.2843575,1.3159035,0.4148148,0.5294118,0.5747273267124406,-6.421787500000001,6.5795175,-2.568715,2.631807,2.074074,3.9477105,0.8296296,0.0
1.4121002,1.4895446,-0.6,-0.23529412,-0.8171331435293907,5.6484008,5.9581784,4.2363006,4.4686338,-2.4,1.4895446,-1.7999999999999998,0.0
